Age,Attrition,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,Shift,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
39,0,895,Cardiology,5,3,Technical Degree,1,4,Male,56,3,2,Other,4,Married,2086,3,No,14,3,3,80,1,19,6,4,1,0,0,0
24,1,813,Maternity,1,3,Medical,1,2,Male,61,3,1,Other,4,Married,2293,2,Yes,16,3,1,80,1,6,2,2,2,0,2,0
43,0,1273,Maternity,2,2,Medical,1,4,Female,72,4,1,Other,3,Divorced,2645,1,No,12,3,4,80,2,6,3,2,5,3,1,4
50,1,869,Cardiology,3,2,Marketing,1,1,Male,86,2,1,Other,3,Married,2683,1,Yes,14,3,3,80,0,3,2,3,3,2,0,2
35,0,890,Cardiology,2,3,Marketing,1,4,Female,97,3,1,Other,4,Married,2014,1,No,13,3,1,80,0,2,3,3,2,2,2,2
36,0,852,Maternity,5,4,Life Sciences,1,2,Female,82,2,1,Other,1,Married,3419,9,Yes,14,3,4,80,1,6,3,4,1,1,0,0
33,0,1141,Cardiology,1,3,Life Sciences,1,3,Female,42,4,2,Nurse,1,Married,5376,2,No,19,3,1,80,2,10,3,3,5,3,1,3
35,0,464,Maternity,4,2,Other,1,3,Male,75,3,1,Nurse,4,Divorced,1951,1,No,12,3,3,80,1,1,3,3,1,0,0,0
27,0,1240,Maternity,2,4,Life Sciences,1,4,Female,33,3,1,Nurse,1,Divorced,2341,1,No,13,3,4,80,1,1,6,3,1,0,0,0
26,1,1357,Maternity,25,3,Life Sciences,1,1,Male,48,1,1,Nurse,3,Single,2293,1,No,12,3,3,80,0,1,2,2,1,0,0,1
27,0,994,Cardiology,8,3,Life Sciences,1,4,Male,37,3,3,Nurse,3,Single,8726,1,No,15,3,4,80,0,9,0,3,9,8,1,7
30,0,721,Maternity,1,2,Medical,1,3,Female,58,3,2,Nurse,4,Single,4011,1,No,23,4,4,80,0,12,2,3,12,8,3,7
41,0,1360,Neurology,12,3,Technical Degree,1,2,Female,49,3,5,Other,3,Married,19545,1,No,12,3,4,80,0,23,0,3,22,15,15,8
34,0,1065,Cardiology,23,4,Marketing,1,2,Male,72,3,2,Nurse,3,Single,4568,0,No,20,4,3,80,0,10,2,3,9,5,8,7
37,0,408,Maternity,19,2,Life Sciences,1,2,Male,73,3,1,Other,2,Married,3022,4,No,21,4,1,80,0,8,1,3,1,0,0,0
46,0,1211,Cardiology,5,4,Marketing,1,1,Male,98,3,2,Nurse,4,Single,5772,4,Yes,21,4,3,80,0,14,4,3,9,6,0,8
35,0,1229,Maternity,8,1,Life Sciences,1,4,Male,36,4,1,Nurse,4,Married,2269,1,No,19,3,4,80,0,1,2,3,1,0,0,1
48,1,626,Maternity,1,2,Life Sciences,1,1,Male,98,2,3,Nurse,3,Single,5381,9,Yes,13,3,4,80,0,23,2,3,1,0,0,0
28,1,1434,Maternity,5,4,Technical Degree,1,3,Male,50,3,1,Nurse,3,Single,3441,1,Yes,13,3,3,80,0,2,3,2,2,2,2,2
44,0,1488,Cardiology,1,5,Marketing,1,2,Female,75,3,2,Nurse,1,Divorced,5454,5,Yes,21,4,3,80,1,9,2,2,4,3,1,3
35,0,1097,Maternity,11,2,Medical,1,3,Male,79,2,3,Nurse,1,Married,9884,2,Yes,13,3,3,80,1,10,3,3,4,0,2,3
26,1,1443,Cardiology,23,3,Marketing,1,3,Female,47,2,2,Nurse,4,Married,4157,7,Yes,19,3,3,80,1,5,2,2,2,2,0,0
33,0,515,Neurology,1,2,Life Sciences,1,1,Female,98,3,3,Other,4,Single,13458,1,Yes,12,3,3,80,0,15,1,3,15,14,8,12
35,0,853,Cardiology,18,5,Life Sciences,1,2,Male,71,3,3,Nurse,1,Married,9069,1,No,22,4,4,80,1,9,3,2,9,8,1,8
35,0,1142,Maternity,23,4,Medical,1,3,Female,30,3,1,Nurse,1,Married,4014,3,Yes,15,3,3,80,1,4,3,3,2,2,2,2
31,0,655,Maternity,7,4,Life Sciences,1,4,Male,48,3,2,Nurse,4,Divorced,5915,3,No,22,4,4,80,1,10,3,2,7,7,1,7
37,0,1115,Neurology,1,4,Life Sciences,1,1,Male,51,2,2,Therapist,3,Divorced,5993,1,No,18,3,3,80,1,7,2,4,7,5,0,7
32,0,427,Neurology,1,3,Medical,1,1,Male,33,3,2,Therapist,4,Married,6162,1,Yes,22,4,2,80,1,9,3,3,9,8,7,8
38,0,653,Maternity,29,5,Life Sciences,1,4,Female,50,3,2,Nurse,4,Single,2406,1,No,11,3,4,80,0,10,2,3,10,3,9,9
50,0,989,Neurology,7,2,Medical,1,2,Female,43,2,5,Other,3,Divorced,18740,5,Yes,12,3,4,80,1,29,2,2,27,3,13,8
59,0,1435,Cardiology,25,3,Life Sciences,1,1,Female,99,3,3,Nurse,1,Single,7637,7,No,11,3,4,80,0,28,3,2,21,16,7,9
36,0,1223,Maternity,8,3,Technical Degree,1,3,Female,59,3,3,Nurse,3,Divorced,10096,1,No,13,3,2,80,3,17,2,3,17,14,12,8
55,0,836,Neurology,8,3,Medical,1,4,Female,33,3,4,Other,3,Divorced,14756,2,Yes,14,3,3,80,3,21,2,3,5,0,0,2
36,0,1195,Maternity,11,3,Life Sciences,1,2,Male,95,2,2,Therapist,2,Single,6499,1,No,13,3,3,80,0,6,3,3,6,5,0,3
45,0,1339,Maternity,7,3,Life Sciences,1,2,Male,59,3,3,Other,1,Divorced,9724,2,No,17,3,3,80,1,25,2,3,1,0,0,0
35,0,664,Maternity,1,3,Medical,1,2,Male,79,3,1,Other,1,Married,2194,4,No,13,3,4,80,1,5,2,2,3,2,1,2
36,1,318,Maternity,9,3,Medical,1,4,Male,79,2,1,Other,3,Married,3388,0,Yes,17,3,1,80,1,2,0,2,1,0,0,0
59,0,1225,Cardiology,1,1,Life Sciences,1,1,Female,57,2,2,Nurse,3,Single,5473,7,No,11,3,4,80,0,20,2,2,4,3,1,3
29,0,1328,Maternity,2,3,Life Sciences,1,3,Male,76,3,1,Other,2,Married,2703,0,No,23,4,4,80,1,6,3,3,5,4,0,4
31,0,1082,Maternity,1,4,Medical,1,3,Male,87,3,1,Other,2,Single,2501,1,No,17,3,2,80,0,1,4,3,1,1,1,0
32,0,548,Maternity,1,3,Life Sciences,1,2,Male,66,3,2,Other,2,Married,6220,1,No,17,3,2,80,2,10,3,3,10,4,0,9
36,0,132,Maternity,6,3,Life Sciences,1,2,Female,55,4,1,Nurse,4,Married,3038,3,No,12,3,2,80,0,5,3,3,1,0,0,0
31,0,746,Cardiology,8,4,Life Sciences,1,3,Female,61,3,2,Therapist,4,Single,4424,1,No,23,4,4,80,0,11,2,3,11,7,1,8
35,0,776,Cardiology,1,4,Marketing,1,3,Male,32,2,2,Nurse,1,Single,4312,0,No,14,3,2,80,0,16,2,3,15,13,2,8
45,0,193,Neurology,6,4,Other,1,4,Male,52,3,3,Other,1,Married,13245,4,Yes,14,3,2,80,0,17,3,4,0,0,0,0
37,0,397,Neurology,7,4,Medical,1,1,Male,30,3,3,Other,3,Single,13664,4,No,13,3,1,80,0,16,3,4,5,2,0,2
46,0,945,Neurology,5,2,Medical,1,2,Male,80,3,2,Other,2,Divorced,5021,8,Yes,22,4,4,80,1,16,2,3,4,2,0,2
30,0,852,Maternity,1,1,Life Sciences,1,4,Male,55,2,2,Nurse,4,Married,5126,1,Yes,12,3,3,80,2,10,1,2,10,8,3,0
35,0,1214,Maternity,1,3,Medical,1,2,Male,30,2,1,Other,3,Single,2859,1,No,18,3,1,80,0,6,3,3,6,4,0,4
55,0,111,Cardiology,1,2,Life Sciences,1,1,Male,70,3,3,Nurse,4,Married,10239,3,No,14,3,4,80,1,24,4,3,1,0,1,0
38,0,573,Maternity,6,3,Medical,1,2,Female,79,1,2,Other,4,Divorced,5329,7,Yes,12,3,4,80,3,17,3,3,13,11,1,9
34,0,1153,Neurology,1,2,Medical,1,1,Male,94,3,2,Therapist,2,Married,4325,1,No,15,3,3,80,0,5,2,3,5,2,1,3
56,0,1400,Neurology,7,3,Life Sciences,1,4,Male,49,1,3,Therapist,4,Single,7260,4,No,11,3,1,80,0,37,3,2,6,4,0,2
23,0,541,Cardiology,2,1,Technical Degree,1,3,Male,62,3,1,Other,1,Divorced,2322,3,No,13,3,3,80,1,3,3,3,0,0,0,0
51,0,432,Maternity,9,4,Life Sciences,1,4,Male,96,3,1,Nurse,4,Married,2075,3,No,23,4,2,80,2,10,4,3,4,2,0,3
30,0,288,Maternity,2,3,Life Sciences,1,3,Male,99,2,2,Nurse,4,Married,4152,1,No,19,3,1,80,3,11,3,3,11,10,10,8
46,0,669,Cardiology,9,2,Medical,1,3,Male,64,2,3,Nurse,4,Single,9619,1,No,16,3,4,80,0,9,3,3,9,8,4,7
40,0,530,Maternity,1,4,Life Sciences,1,3,Male,78,2,4,Nurse,2,Married,13503,1,No,22,4,4,80,1,22,3,2,22,3,11,11
51,0,632,Cardiology,21,4,Marketing,1,3,Male,71,3,2,Nurse,4,Single,5441,0,Yes,22,4,4,80,0,11,2,1,10,7,1,0
30,0,1334,Cardiology,4,2,Medical,1,3,Female,63,2,2,Nurse,2,Divorced,5209,1,Yes,12,3,2,80,3,11,4,2,11,8,2,7
46,0,638,Maternity,1,3,Medical,1,3,Male,40,2,3,Nurse,1,Married,10673,2,Yes,13,3,3,80,1,21,5,2,10,9,9,5
32,0,1093,Cardiology,6,4,Medical,1,2,Male,87,3,2,Nurse,3,Single,5010,1,No,16,3,1,80,0,12,0,3,11,8,5,7
54,0,1217,Neurology,2,4,Technical Degree,1,1,Female,60,3,3,Other,3,Married,13549,9,No,12,3,1,80,1,16,5,1,4,3,0,3
24,0,1353,Cardiology,3,2,Other,1,1,Female,33,3,2,Nurse,3,Married,4999,0,No,21,4,1,80,1,4,2,2,3,2,0,2
28,0,120,Cardiology,4,3,Medical,1,2,Male,43,3,2,Nurse,3,Married,4221,1,No,15,3,2,80,0,5,3,4,5,4,0,4
58,0,682,Cardiology,10,4,Medical,1,4,Male,37,3,4,Nurse,3,Single,13872,0,No,13,3,3,80,0,38,1,2,37,10,1,8
44,0,489,Maternity,23,3,Medical,1,2,Male,67,3,2,Nurse,2,Married,2042,4,No,12,3,3,80,1,17,3,4,3,2,1,2
37,1,807,Neurology,6,4,Human Resources,1,3,Male,63,3,1,Other,1,Divorced,2073,4,Yes,22,4,4,80,0,7,3,3,3,2,0,2
32,0,827,Maternity,1,1,Life Sciences,1,4,Male,71,3,1,Other,1,Single,2956,1,No,13,3,4,80,0,1,2,3,1,0,0,0
20,1,871,Maternity,6,3,Life Sciences,1,4,Female,66,2,1,Nurse,4,Single,2926,1,Yes,18,3,2,80,0,1,5,3,1,0,1,0
34,0,665,Maternity,6,4,Other,1,1,Female,41,3,2,Other,3,Single,4809,1,No,14,3,3,80,0,16,3,3,16,13,2,10
37,0,1040,Maternity,2,2,Life Sciences,1,3,Male,100,2,2,Nurse,4,Divorced,5163,5,No,14,3,4,80,1,17,2,4,1,0,0,0
59,0,1420,Neurology,2,4,Human Resources,1,3,Female,32,2,5,Administrative,4,Married,18844,9,No,21,4,4,80,1,30,3,3,3,2,2,2
50,0,1115,Neurology,1,3,Life Sciences,1,1,Female,73,3,5,Other,2,Married,18172,3,Yes,19,3,1,80,0,28,1,2,8,3,0,7
25,1,240,Cardiology,5,3,Marketing,1,3,Male,46,2,2,Nurse,3,Single,5744,1,Yes,11,3,4,80,0,6,1,3,6,4,0,3
25,0,1280,Maternity,7,1,Medical,1,4,Male,64,2,1,Other,4,Married,2889,1,No,11,3,3,80,2,2,2,3,2,2,2,1
22,0,534,Maternity,15,3,Medical,1,2,Female,59,3,1,Nurse,4,Single,2871,1,No,15,3,3,80,0,1,5,3,0,0,0,0
51,0,1456,Maternity,1,4,Medical,1,1,Female,30,2,3,Nurse,1,Single,7484,3,No,20,4,3,80,0,23,1,2,13,12,12,8
34,1,658,Maternity,7,3,Life Sciences,1,1,Male,66,1,2,Nurse,3,Single,6074,1,Yes,24,4,4,80,0,9,3,3,9,7,0,6
54,0,142,Neurology,26,3,Human Resources,1,4,Female,30,4,4,Administrative,4,Single,17328,2,Yes,12,3,3,80,0,23,3,3,5,3,4,4
24,0,1127,Maternity,18,1,Life Sciences,1,2,Male,52,3,1,Nurse,3,Married,2774,0,No,12,3,3,80,1,6,2,3,5,3,1,2
34,0,1031,Maternity,6,4,Life Sciences,1,3,Female,45,2,2,Other,2,Divorced,4505,6,No,15,3,3,80,1,12,3,3,1,0,0,0
37,0,1189,Cardiology,3,3,Life Sciences,1,3,Male,87,3,3,Nurse,4,Single,7428,2,No,12,3,1,80,0,12,3,3,5,3,1,3
34,0,1354,Neurology,5,3,Medical,1,3,Female,45,2,3,Other,1,Single,11631,2,No,12,3,4,80,0,14,6,3,11,10,5,8
36,0,1467,Cardiology,11,2,Technical Degree,1,2,Female,92,3,3,Nurse,4,Married,9738,0,No,14,3,3,80,1,10,6,3,9,7,2,8
36,0,922,Maternity,3,2,Life Sciences,1,1,Female,39,3,1,Nurse,4,Divorced,2835,5,No,22,4,1,80,1,7,2,3,1,0,0,0
43,0,394,Cardiology,26,2,Life Sciences,1,3,Male,92,3,4,Administrative,4,Married,16959,1,Yes,12,3,4,80,2,25,3,4,25,12,4,12
30,0,1312,Maternity,23,3,Life Sciences,1,1,Male,96,1,1,Other,3,Divorced,2613,1,No,25,4,3,80,3,10,2,2,10,7,0,9
33,0,750,Cardiology,22,2,Marketing,1,3,Male,95,3,2,Nurse,2,Married,6146,0,No,13,3,1,80,1,8,2,4,7,7,0,7
56,1,441,Maternity,14,4,Life Sciences,1,2,Female,72,3,1,Other,2,Married,4963,9,Yes,18,3,1,80,3,7,2,3,5,4,4,3
51,0,684,Neurology,6,3,Life Sciences,1,1,Male,51,3,5,Other,3,Single,19537,7,No,13,3,3,80,0,23,5,3,20,18,15,15
31,1,249,Cardiology,6,4,Life Sciences,1,2,Male,76,1,2,Nurse,3,Married,6172,4,Yes,18,3,2,80,0,12,3,2,7,7,7,7
26,0,841,Maternity,6,3,Other,1,3,Female,46,2,1,Other,2,Married,2368,1,No,19,3,3,80,0,5,3,2,5,4,4,3
58,0,147,Maternity,23,4,Medical,1,4,Female,94,3,3,Nurse,4,Married,10312,1,No,12,3,4,80,1,40,3,2,40,10,15,6
19,1,528,Cardiology,22,1,Marketing,1,4,Male,50,3,1,Other,3,Single,1675,1,Yes,19,3,4,80,0,0,2,2,0,0,0,0
22,0,594,Maternity,2,1,Technical Degree,1,3,Male,100,3,1,Nurse,4,Married,2523,0,No,14,3,3,80,1,3,2,3,2,1,2,1
49,0,470,Maternity,20,4,Medical,1,3,Female,96,3,2,Therapist,1,Married,6567,1,No,14,3,3,80,0,16,2,2,15,11,5,11
43,0,957,Maternity,28,3,Medical,1,2,Female,72,4,1,Other,3,Single,4739,4,No,12,3,4,80,0,18,2,3,3,2,1,2
50,0,809,Cardiology,12,3,Marketing,1,3,Female,77,3,3,Nurse,4,Single,9208,4,No,11,3,4,80,0,16,3,3,2,2,2,1
31,1,542,Cardiology,20,3,Life Sciences,1,2,Female,71,1,2,Nurse,3,Married,4559,3,Yes,11,3,3,80,1,4,2,3,2,2,2,2
41,0,802,Cardiology,9,1,Life Sciences,1,3,Male,96,3,3,Nurse,3,Divorced,8189,3,Yes,13,3,3,80,1,12,2,3,9,7,0,7
26,0,1355,Neurology,25,1,Life Sciences,1,3,Female,61,3,1,Other,3,Married,2942,1,No,23,4,4,80,1,8,3,3,8,7,5,7
36,0,216,Neurology,6,2,Medical,1,2,Male,84,3,2,Therapist,2,Divorced,4941,6,No,20,4,4,80,2,7,0,3,3,2,0,1
51,1,1150,Cardiology,8,4,Life Sciences,1,1,Male,53,1,3,Therapist,4,Single,10650,2,No,15,3,4,80,0,18,2,3,4,2,0,3
39,0,1329,Cardiology,4,4,Life Sciences,1,4,Female,47,2,2,Nurse,3,Married,5902,4,No,14,3,3,80,1,17,1,4,15,11,5,9
25,0,959,Cardiology,28,3,Life Sciences,1,1,Male,41,2,2,Nurse,3,Married,8639,2,No,18,3,4,80,0,6,3,3,2,2,2,2
30,0,1240,Neurology,9,3,Human Resources,1,3,Male,48,3,2,Other,4,Married,6347,0,Yes,19,3,4,80,0,12,2,1,11,9,4,7
32,1,1033,Maternity,9,3,Medical,1,1,Female,41,3,1,Nurse,1,Single,4200,7,No,22,4,1,80,0,10,2,4,5,4,0,4
45,0,1316,Maternity,29,3,Medical,1,3,Male,83,3,1,Other,4,Single,3452,5,No,13,3,2,80,0,9,2,2,6,5,0,3
38,0,364,Maternity,3,5,Technical Degree,1,4,Female,32,3,2,Other,3,Single,4317,3,Yes,20,4,2,80,0,19,2,3,3,2,2,2
30,0,438,Maternity,18,3,Life Sciences,1,1,Female,75,3,1,Other,3,Single,2632,1,No,14,3,3,80,0,5,4,2,5,4,0,4
32,0,689,Cardiology,9,2,Medical,1,4,Male,35,1,2,Nurse,4,Divorced,4668,0,No,17,3,4,80,3,9,2,4,8,7,0,7
30,0,201,Maternity,5,3,Technical Degree,1,4,Female,84,3,1,Other,1,Divorced,3204,5,No,14,3,4,80,1,8,3,3,3,2,2,2
30,0,1427,Maternity,2,1,Medical,1,2,Male,35,2,1,Nurse,4,Single,2720,0,No,13,3,4,80,0,6,3,3,5,3,1,2
41,0,857,Neurology,10,3,Life Sciences,1,4,Male,91,2,4,Other,1,Divorced,17181,4,No,13,3,2,80,1,21,2,2,7,6,7,7
41,0,933,Maternity,9,4,Life Sciences,1,3,Male,94,3,1,Nurse,1,Married,2238,2,No,21,4,4,80,1,7,2,3,5,0,1,4
19,0,1181,Maternity,3,1,Medical,1,2,Female,79,3,1,Nurse,2,Single,1483,1,No,14,3,4,80,0,1,3,3,1,0,0,0
40,0,1395,Maternity,26,3,Medical,1,2,Female,54,3,2,Other,2,Divorced,5605,1,No,11,3,1,80,1,20,2,3,20,7,2,13
35,0,662,Cardiology,1,5,Marketing,1,3,Male,94,3,3,Nurse,2,Married,7295,1,No,13,3,1,80,2,10,3,3,10,8,0,6
53,0,1436,Cardiology,6,2,Marketing,1,2,Male,34,3,2,Other,3,Married,2306,2,Yes,20,4,4,80,1,13,3,1,7,7,4,5
45,0,194,Maternity,9,3,Life Sciences,1,2,Male,60,3,2,Nurse,2,Divorced,2348,8,No,18,3,3,80,1,20,2,1,17,9,0,15
32,0,967,Cardiology,8,3,Marketing,1,2,Female,43,3,3,Nurse,4,Single,8998,1,No,14,3,4,80,0,9,2,3,9,8,3,7
29,0,1496,Neurology,1,1,Technical Degree,1,4,Male,41,3,2,Therapist,3,Married,4319,1,No,13,3,1,80,1,10,1,3,10,7,0,9
51,0,1169,Neurology,7,4,Medical,1,2,Male,34,2,2,Therapist,3,Married,6132,2,No,17,3,3,80,0,10,2,3,1,0,0,0
58,0,1145,Maternity,9,3,Medical,1,2,Female,75,2,1,Other,2,Married,3346,4,Yes,20,4,2,80,1,9,3,2,1,0,0,0
40,0,630,Cardiology,4,4,Marketing,1,3,Male,67,2,3,Nurse,4,Married,10855,7,No,11,3,1,80,1,15,2,2,12,11,2,11
34,0,303,Cardiology,2,4,Marketing,1,3,Female,75,3,1,Other,3,Married,2231,6,No,18,3,4,80,1,6,3,3,4,3,1,2
22,0,1256,Maternity,19,1,Medical,1,3,Male,80,3,1,Other,4,Married,2323,1,No,24,4,1,80,2,2,6,3,2,2,2,2
27,0,691,Maternity,9,3,Medical,1,4,Male,57,3,1,Other,2,Divorced,2024,6,No,18,3,4,80,1,6,1,1,2,2,2,2
28,0,440,Maternity,21,3,Medical,1,3,Male,42,3,1,Other,4,Married,2713,1,No,11,3,3,80,1,5,2,1,5,2,0,2
57,0,334,Maternity,24,2,Life Sciences,1,3,Male,83,4,3,Nurse,4,Divorced,9439,3,Yes,16,3,2,80,1,12,2,1,5,3,1,4
27,1,1450,Maternity,3,3,Medical,1,3,Male,79,2,1,Other,3,Divorced,2566,1,Yes,15,3,4,80,1,1,2,2,1,1,0,1
50,0,1452,Neurology,11,3,Life Sciences,1,3,Female,53,3,5,Other,2,Single,19926,3,No,15,3,2,80,0,21,5,3,5,4,4,4
41,0,465,Maternity,14,3,Life Sciences,1,1,Male,56,3,1,Other,3,Divorced,2451,4,No,12,3,1,80,1,13,2,3,9,8,1,8
30,0,1339,Cardiology,5,3,Life Sciences,1,2,Female,41,3,3,Nurse,4,Married,9419,2,No,12,3,3,80,1,12,2,3,10,9,7,4
38,0,702,Cardiology,1,4,Life Sciences,1,1,Female,59,2,2,Nurse,4,Single,8686,4,No,22,4,3,80,0,12,2,4,8,3,0,7
32,0,120,Maternity,6,5,Life Sciences,1,3,Male,43,3,1,Other,3,Single,3038,3,No,20,4,1,80,0,8,2,3,5,4,1,4
27,0,1157,Maternity,17,3,Technical Degree,1,3,Male,51,3,1,Other,2,Married,3058,0,Yes,16,3,4,80,1,6,3,2,5,2,1,1
19,1,602,Cardiology,1,1,Technical Degree,1,3,Female,100,1,1,Other,1,Single,2325,0,No,21,4,1,80,0,1,5,4,0,0,0,0
36,0,1480,Maternity,3,2,Medical,1,4,Male,30,3,1,Nurse,2,Single,2088,4,No,12,3,3,80,0,13,3,2,8,7,7,2
30,0,111,Maternity,9,3,Medical,1,3,Male,66,3,2,Nurse,1,Divorced,3072,1,No,11,3,3,80,2,12,4,3,12,9,6,10
45,0,1268,Cardiology,4,2,Life Sciences,1,3,Female,30,3,2,Nurse,1,Divorced,5006,4,Yes,11,3,1,80,1,9,3,4,5,4,0,3
56,0,713,Maternity,8,3,Life Sciences,1,3,Female,67,3,1,Other,1,Divorced,4257,4,Yes,18,3,3,80,1,19,3,3,2,2,2,2
33,0,134,Maternity,2,3,Life Sciences,1,3,Male,90,3,1,Other,4,Single,2500,0,No,14,3,1,80,0,4,2,4,3,1,0,2
19,1,303,Maternity,2,3,Life Sciences,1,2,Male,47,2,1,Nurse,4,Single,1102,1,No,22,4,3,80,0,1,3,2,1,0,1,0
